transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,merchant_category,failed_transaction_count,fraud_label
TXN-00000073,CUST-000018,2025-08-19,210.33,purchase,digital_goods,0,0
TXN-00000074,CUST-000018,2025-09-07,15.88,transfer,travel,1,0
TXN-00000075,CUST-000018,2025-12-03,97.86,purchase,grocery,0,0
TXN-00000076,CUST-000018,2025-08-27,10.32,purchase,travel,0,1
TXN-00000077,CUST-000018,2025-07-28,5.45,purchase,cash_transfer,2,0
TXN-00000078,CUST-000018,2025-10-15,56.87,subscription,electronics,0,0
TXN-00000079,CUST-000018,2025-12-06,53.63,purchase,electronics,0,0
TXN-00000080,CUST-000018,2025-11-11,15.3,purchase,electronics,1,0
TXN-00000081,CUST-000018,2025-12-09,165.5,purchase,travel,1,0
TXN-00000082,CUST-000019,2025-09-20,79.58,purchase,subscription,0,0
TXN-00000083,CUST-000019,2026-01-01,92.94,transfer,grocery,1,0
TXN-00000084,CUST-000019,2025-12-21,24.73,transfer,grocery,0,0
TXN-00000085,CUST-000019,2025-07-26,24.67,purchase,digital_goods,0,0
TXN-00000086,CUST-000020,2025-10-05,49.06,purchase,electronics,1,0
TXN-00000087,CUST-000020,2025-10-16,51.19,purchase,travel,0,0
TXN-00000088,CUST-000021,2025-11-04,45.09,purchase,cash_transfer,1,1
TXN-00000089,CUST-000021,2025-12-13,84.74,purchase,cash_transfer,1,0
TXN-00000090,CUST-000021,2025-12-20,70.06,subscription,travel,0,0
TXN-00000091,CUST-000021,2025-09-13,66.66,transfer,grocery,0,0
TXN-00000092,CUST-000022,2025-09-16,27.61,purchase,subscription,1,0
TXN-00000093,CUST-000022,2025-12-08,26.84,subscription,grocery,0,0
TXN-00000094,CUST-000022,2025-12-20,27.56,refund,grocery,1,0
TXN-00000095,CUST-000022,2025-07-25,29.4,purchase,cash_transfer,1,0
TXN-00000096,CUST-000022,2025-08-25,89.88,refund,cash_transfer,2,0
TXN-00000097,CUST-000023,2025-10-07,25.7,purchase,electronics,0,0
TXN-00000098,CUST-000023,2025-10-21,20.95,purchase,digital_goods,1,0
TXN-00000099,CUST-000024,2025-10-22,17.8,purchase,electronics,1,0
TXN-00000100,CUST-000024,2025-09-17,20.17,purchase,subscription,0,0
TXN-00000101,CUST-000025,2025-07-20,473.89,purchase,grocery,0,0
TXN-00000102,CUST-000025,2025-07-16,38.89,purchase,grocery,0,0
TXN-00000103,CUST-000025,2025-07-23,22.98,purchase,subscription,0,0
TXN-00000104,CUST-000025,2025-07-13,40.37,purchase,subscription,1,0
TXN-00000105,CUST-000026,2025-09-16,26.51,subscription,digital_goods,2,0
TXN-00000106,CUST-000027,2025-07-16,12.8,purchase,grocery,0,0
TXN-00000107,CUST-000027,2025-10-22,25.73,purchase,digital_goods,0,0
TXN-00000108,CUST-000027,2025-09-22,47.57,subscription,subscription,0,0
TXN-00000109,CUST-000028,2025-12-07,43.55,purchase,subscription,0,0
TXN-00000110,CUST-000028,2025-10-26,110.19,purchase,electronics,0,0
TXN-00000111,CUST-000028,2025-07-17,67.54,purchase,travel,1,0
TXN-00000112,CUST-000028,2025-11-10,98.05,purchase,digital_goods,1,0
TXN-00000113,CUST-000029,2025-09-02,117.04,purchase,digital_goods,1,1
TXN-00000114,CUST-000030,2025-09-15,22.34,purchase,digital_goods,2,0
TXN-00000115,CUST-000030,2025-10-30,20.8,purchase,grocery,1,1
TXN-00000116,CUST-000030,2025-12-19,56.93,purchase,electronics,0,0
TXN-00000117,CUST-000031,2025-07-17,59.83,subscription,subscription,0,0
TXN-00000118,CUST-000031,2025-07-16,35.29,purchase,digital_goods,0,0
TXN-00000119,CUST-000031,2025-12-23,54.59,transfer,digital_goods,0,0
TXN-00000120,CUST-000031,2025-10-30,6.83,purchase,electronics,1,0
TXN-00000121,CUST-000032,2025-07-07,225.52,purchase,travel,0,0
TXN-00000122,CUST-000032,2025-12-18,19.06,purchase,digital_goods,0,0
TXN-00000123,CUST-000032,2025-08-06,79.39,purchase,subscription,0,0
TXN-00000124,CUST-000032,2025-08-18,46.88,purchase,travel,1,0
TXN-00000125,CUST-000032,2025-10-23,64.74,purchase,subscription,0,0
TXN-00000126,CUST-000032,2025-08-20,83.98,purchase,electronics,0,0
TXN-00000127,CUST-000032,2025-11-30,93.99,transfer,electronics,0,0
TXN-00000128,CUST-000032,2025-10-05,9.64,purchase,grocery,0,0
TXN-00000129,CUST-000033,2025-09-04,23.53,refund,travel,2,0
TXN-00000130,CUST-000033,2025-11-11,39.34,subscription,digital_goods,0,0
TXN-00000131,CUST-000033,2025-09-26,96.15,purchase,subscription,2,0
TXN-00000132,CUST-000033,2025-12-27,34.11,transfer,digital_goods,0,0
TXN-00000133,CUST-000033,2025-09-23,24.27,subscription,electronics,1,0
TXN-00000134,CUST-000033,2025-09-08,102.44,purchase,travel,0,0
TXN-00000135,CUST-000034,2025-11-17,52.45,purchase,digital_goods,0,0
TXN-00000136,CUST-000035,2025-10-30,115.44,purchase,travel,0,0
TXN-00000137,CUST-000035,2025-12-16,128.08,purchase,grocery,0,0
TXN-00000138,CUST-000035,2025-09-20,21.07,purchase,grocery,1,0
TXN-00000139,CUST-000035,2025-12-26,102.46,transfer,electronics,0,0
TXN-00000140,CUST-000035,2025-08-24,54.39,purchase,subscription,2,0
TXN-00000141,CUST-000036,2025-12-23,31.79,subscription,subscription,0,0
TXN-00000142,CUST-000036,2025-08-03,34.47,purchase,subscription,1,0
TXN-00000143,CUST-000036,2025-10-08,41.66,purchase,electronics,0,0
TXN-00000144,CUST-000037,2025-12-11,14.36,subscription,electronics,1,0
TXN-00000145,CUST-000037,2025-08-19,17.19,subscription,digital_goods,1,0
TXN-00000146,CUST-000037,2025-08-16,18.82,purchase,grocery,0,0
TXN-00000147,CUST-000037,2025-12-29,25.13,transfer,cash_transfer,0,0
TXN-00000148,CUST-000037,2025-12-24,10.02,purchase,grocery,0,0
TXN-00000149,CUST-000038,2025-08-05,23.72,refund,subscription,2,0
TXN-00000150,CUST-000038,2025-08-08,79.37,purchase,electronics,0,0
TXN-00000151,CUST-000038,2025-09-13,301.21,refund,digital_goods,0,0
TXN-00000152,CUST-000038,2025-12-24,21.57,purchase,electronics,0,0
TXN-00000153,CUST-000039,2025-11-13,33.55,purchase,electronics,1,0
TXN-00000154,CUST-000039,2025-07-16,57.3,purchase,cash_transfer,0,0
TXN-00000155,CUST-000039,2025-08-03,79.51,purchase,grocery,0,0
TXN-00000156,CUST-000040,2025-10-20,23.2,purchase,grocery,0,0
TXN-00000157,CUST-000040,2025-12-10,36.81,purchase,electronics,0,0
TXN-00000158,CUST-000041,2025-12-03,88.48,purchase,subscription,0,0
TXN-00000159,CUST-000041,2025-10-21,192.48,purchase,digital_goods,2,0
TXN-00000160,CUST-000041,2025-11-26,228.73,purchase,electronics,1,0
TXN-00000161,CUST-000042,2025-08-06,32.33,transfer,electronics,1,1
TXN-00000162,CUST-000042,2025-11-19,40.49,purchase,cash_transfer,1,1
TXN-00000163,CUST-000042,2025-11-01,423.11,purchase,digital_goods,1,0
TXN-00000164,CUST-000042,2025-08-29,21.28,purchase,digital_goods,2,0
TXN-00000165,CUST-000042,2025-07-07,23.81,purchase,grocery,1,0
TXN-00000166,CUST-000043,2025-12-02,104.66,purchase,subscription,0,1
TXN-00000167,CUST-000043,2025-12-12,440.46,purchase,travel,3,0
TXN-00000168,CUST-000043,2025-11-16,455.65,purchase,travel,0,0
TXN-00000169,CUST-000043,2025-11-28,77.13,purchase,grocery,1,0
TXN-00000170,CUST-000043,2025-09-06,267.91,purchase,subscription,0,0
TXN-00000171,CUST-000043,2025-07-12,417.58,purchase,grocery,0,0
TXN-00000172,CUST-000044,2025-09-25,85.21,purchase,subscription,0,0
TXN-00000173,CUST-000044,2025-09-05,26.55,purchase,cash_transfer,0,1
TXN-00000174,CUST-000044,2025-09-17,32.93,refund,cash_transfer,0,0
TXN-00000175,CUST-000044,2025-10-15,66.95,purchase,travel,2,0
TXN-00000176,CUST-000044,2025-11-20,55.98,purchase,electronics,0,0
TXN-00000177,CUST-000044,2025-10-09,35.8,purchase,subscription,0,0
TXN-00000178,CUST-000044,2025-08-12,185.88,purchase,grocery,1,0
TXN-00000179,CUST-000045,2025-10-06,81.75,purchase,subscription,0,0
TXN-00000180,CUST-000045,2025-12-15,274.05,purchase,digital_goods,0,0
TXN-00000181,CUST-000045,2025-12-08,146.65,transfer,travel,0,0
TXN-00000182,CUST-000045,2025-11-18,33.36,refund,electronics,0,0
TXN-00000183,CUST-000045,2025-12-30,25.46,purchase,grocery,2,0
TXN-00000184,CUST-000045,2025-07-22,158.73,purchase,digital_goods,0,0
TXN-00000185,CUST-000045,2025-10-10,55.82,purchase,subscription,1,0
TXN-00000186,CUST-000045,2025-10-12,121.15,purchase,subscription,3,0
TXN-00000187,CUST-000046,2025-09-19,318.06,purchase,subscription,1,0
TXN-00000188,CUST-000046,2025-11-03,186.43,purchase,subscription,0,0
TXN-00000189,CUST-000046,2025-08-08,135.77,purchase,electronics,1,0
TXN-00000190,CUST-000047,2025-11-14,189.45,purchase,grocery,0,0
TXN-00000191,CUST-000047,2025-11-13,156.35,refund,electronics,1,0
TXN-00000192,CUST-000047,2025-08-25,247.14,purchase,grocery,1,0
TXN-00000193,CUST-000048,2025-12-03,87.21,purchase,subscription,0,0
TXN-00000194,CUST-000048,2025-09-16,105.53,purchase,grocery,0,0
TXN-00000195,CUST-000048,2025-12-19,190.76,purchase,travel,2,0
TXN-00000196,CUST-000048,2025-09-15,35.46,subscription,grocery,0,0
TXN-00000197,CUST-000049,2025-09-11,91.03,purchase,travel,0,0
TXN-00000198,CUST-000049,2025-07-17,232.26,refund,grocery,0,0
TXN-00000199,CUST-000049,2025-09-14,51.53,purchase,grocery,0,0
TXN-00000200,CUST-000049,2025-12-28,152.26,purchase,digital_goods,0,0
TXN-00000201,CUST-000050,2025-09-11,35.71,purchase,grocery,0,0
TXN-00000202,CUST-000050,2025-10-30,993.15,purchase,digital_goods,0,0
TXN-00000203,CUST-000050,2025-12-26,171.39,purchase,travel,0,0
TXN-00000204,CUST-000050,2025-08-18,78.91,purchase,subscription,1,0
TXN-00000205,CUST-000050,2025-10-01,27.38,purchase,grocery,0,0
TXN-00000206,CUST-000050,2025-12-03,52.44,transfer,travel,0,0
TXN-00000207,CUST-000050,2025-07-27,33.95,purchase,subscription,0,0
TXN-00000208,CUST-000051,2025-09-23,49.69,purchase,subscription,0,0
TXN-00000209,CUST-000051,2025-12-30,49.25,purchase,grocery,0,0
TXN-00000210,CUST-000051,2025-10-08,204.86,purchase,grocery,2,0
TXN-00000211,CUST-000051,2025-12-07,68.75,purchase,cash_transfer,2,0
TXN-00000212,CUST-000051,2025-11-04,198.78,purchase,grocery,0,0
TXN-00000213,CUST-000051,2025-12-09,38.68,purchase,digital_goods,0,0
TXN-00000214,CUST-000052,2025-10-15,34.81,subscription,subscription,0,0
TXN-00000215,CUST-000052,2025-10-09,25.56,purchase,grocery,0,0
TXN-00000216,CUST-000052,2025-09-16,88.05,purchase,subscription,0,0
TXN-00000217,CUST-000052,2025-08-12,18.5,purchase,cash_transfer,0,0
TXN-00000218,CUST-000052,2025-11-06,73.54,purchase,cash_transfer,1,0
TXN-00000219,CUST-000052,2025-10-07,79.27,purchase,electronics,0,0
TXN-00000220,CUST-000052,2025-11-13,27.94,transfer,travel,0,0
TXN-00000221,CUST-000053,2025-07-27,86.93,purchase,electronics,1,1
TXN-00000222,CUST-000053,2025-08-15,78.95,purchase,grocery,0,0
TXN-00000223,CUST-000053,2025-12-01,67.69,purchase,digital_goods,0,0
TXN-00000224,CUST-000053,2025-09-03,26.45,purchase,digital_goods,1,0
TXN-00000225,CUST-000054,2025-08-24,34.86,purchase,subscription,0,0
TXN-00000226,CUST-000054,2025-10-17,433.03,subscription,electronics,1,0
TXN-00000227,CUST-000054,2025-07-17,25.66,purchase,grocery,0,0
TXN-00000228,CUST-000055,2025-07-15,24.3,purchase,cash_transfer,1,0
TXN-00000229,CUST-000055,2025-12-24,140.28,transfer,grocery,1,0
TXN-00000230,CUST-000055,2025-07-27,19.43,purchase,travel,0,0
TXN-00000231,CUST-000056,2025-08-26,27.7,transfer,grocery,0,0
TXN-00000232,CUST-000056,2025-12-22,42.19,purchase,travel,1,0
TXN-00000233,CUST-000057,2025-10-14,41.78,purchase,digital_goods,0,0
TXN-00000234,CUST-000057,2025-12-31,13.13,transfer,grocery,0,0
TXN-00000235,CUST-000057,2025-12-26,10.71,purchase,digital_goods,1,1
TXN-00000236,CUST-000057,2025-08-30,43.85,transfer,grocery,3,0
TXN-00000237,CUST-000057,2025-08-23,51.46,transfer,subscription,0,0
TXN-00000238,CUST-000057,2025-08-19,9.2,purchase,travel,0,0
TXN-00000239,CUST-000057,2025-08-30,17.76,transfer,digital_goods,0,0
TXN-00000240,CUST-000058,2025-10-16,85.05,transfer,electronics,0,0
TXN-00000241,CUST-000058,2025-11-01,92.56,transfer,grocery,1,0
TXN-00000242,CUST-000058,2025-10-23,80.09,purchase,digital_goods,0,0
TXN-00000243,CUST-000058,2025-09-30,133.69,purchase,electronics,1,0
TXN-00000244,CUST-000058,2025-07-13,133.81,purchase,subscription,2,0
TXN-00000245,CUST-000058,2025-08-11,91.17,purchase,electronics,1,0
TXN-00000246,CUST-000058,2025-10-02,57.1,purchase,grocery,1,0
TXN-00000247,CUST-000058,2025-08-26,282.85,purchase,grocery,1,0
TXN-00000248,CUST-000058,2025-09-17,95.29,purchase,subscription,0,0
TXN-00000249,CUST-000058,2025-12-03,457.87,transfer,electronics,0,0
TXN-00000250,CUST-000059,2025-12-12,30.62,purchase,subscription,0,0
TXN-00000251,CUST-000059,2025-11-05,79.82,transfer,subscription,0,0
TXN-00000252,CUST-000059,2025-08-08,39.32,purchase,subscription,0,0
TXN-00000253,CUST-000059,2025-12-07,44.4,purchase,electronics,0,0
TXN-00000254,CUST-000059,2025-08-07,30.12,refund,grocery,1,0
TXN-00000255,CUST-000060,2025-10-08,22.19,transfer,subscription,0,0
TXN-00000256,CUST-000060,2025-07-06,52.31,purchase,subscription,0,0
TXN-00000257,CUST-000060,2025-11-18,28.51,purchase,grocery,1,0
TXN-00000258,CUST-000060,2025-11-18,10.67,transfer,digital_goods,0,0
TXN-00000259,CUST-000060,2025-08-03,48.5,subscription,cash_transfer,0,0
TXN-00000260,CUST-000060,2025-11-05,19.08,purchase,travel,0,0
TXN-00000261,CUST-000061,2025-10-08,57.67,purchase,subscription,0,0
TXN-00000262,CUST-000061,2025-09-17,30.9,purchase,grocery,1,0
TXN-00000263,CUST-000061,2025-11-12,40.07,purchase,grocery,0,0
TXN-00000264,CUST-000061,2025-10-30,14.12,purchase,subscription,0,0
TXN-00000265,CUST-000062,2025-07-21,8.02,transfer,electronics,1,0
TXN-00000266,CUST-000062,2025-07-22,189.36,purchase,travel,0,0
TXN-00000267,CUST-000063,2025-11-09,154.59,purchase,subscription,1,0
TXN-00000268,CUST-000063,2025-11-12,8.85,purchase,grocery,0,0
TXN-00000269,CUST-000063,2025-08-31,38.71,purchase,travel,1,0
TXN-00000270,CUST-000063,2025-12-25,19.84,purchase,digital_goods,1,1
TXN-00000271,CUST-000064,2025-08-08,47.59,refund,grocery,0,0
TXN-00000272,CUST-000064,2025-10-14,65.46,subscription,cash_transfer,4,0
TXN-00000273,CUST-000064,2025-12-06,13.03,transfer,digital_goods,0,0
TXN-00000274,CUST-000064,2025-10-16,138.63,refund,subscription,0,0
TXN-00000275,CUST-000064,2025-07-23,114.26,subscription,subscription,0,0
TXN-00000276,CUST-000065,2025-12-02,169.41,purchase,subscription,0,0
TXN-00000277,CUST-000065,2025-07-31,25.96,purchase,subscription,0,0
TXN-00000278,CUST-000065,2025-12-17,9.14,purchase,cash_transfer,0,0
TXN-00000279,CUST-000065,2025-10-08,7.8,purchase,subscription,0,0
TXN-00000280,CUST-000066,2025-11-04,13.87,transfer,digital_goods,3,0
TXN-00000281,CUST-000066,2025-12-14,34.18,purchase,cash_transfer,0,0
TXN-00000282,CUST-000066,2025-07-12,32.06,subscription,subscription,0,0
TXN-00000283,CUST-000067,2025-12-14,31.73,purchase,travel,0,0
TXN-00000284,CUST-000067,2025-09-22,32.54,purchase,subscription,0,0
TXN-00000285,CUST-000067,2025-12-23,52.25,purchase,travel,0,0
TXN-00000286,CUST-000068,2025-12-04,107.03,purchase,electronics,0,0
TXN-00000287,CUST-000068,2025-09-23,61.47,refund,subscription,1,0
TXN-00000288,CUST-000068,2025-12-27,47.91,purchase,travel,0,0
TXN-00000289,CUST-000068,2025-11-11,23.15,purchase,digital_goods,0,0
TXN-00000290,CUST-000068,2025-11-10,161.05,purchase,grocery,1,0
TXN-00000291,CUST-000069,2025-08-02,58.69,purchase,electronics,0,0
TXN-00000292,CUST-000069,2025-10-23,66.71,purchase,subscription,0,0
TXN-00000293,CUST-000069,2025-11-23,87.56,purchase,grocery,0,0
TXN-00000294,CUST-000069,2025-07-15,49.41,purchase,travel,0,0
TXN-00000295,CUST-000069,2025-09-08,13.84,purchase,grocery,0,0
TXN-00000296,CUST-000069,2025-10-19,126.34,subscription,grocery,0,0
TXN-00000297,CUST-000070,2025-08-03,155.94,purchase,subscription,2,0
TXN-00000298,CUST-000070,2025-09-04,103.48,purchase,subscription,0,0
TXN-00000299,CUST-000071,2025-12-15,143.4,transfer,electronics,0,0
TXN-00000300,CUST-000071,2025-08-08,433.46,transfer,subscription,0,0
TXN-00000301,CUST-000071,2025-07-20,164.04,purchase,electronics,0,0
TXN-00000302,CUST-000072,2025-09-25,58.12,purchase,digital_goods,0,0
TXN-00000303,CUST-000072,2025-08-28,34.11,purchase,electronics,0,0
TXN-00000304,CUST-000072,2025-12-26,327.54,purchase,travel,0,0
TXN-00000305,CUST-000072,2025-08-05,12.39,transfer,grocery,0,0
TXN-00000306,CUST-000073,2025-11-30,136.21,purchase,subscription,1,0
TXN-00000307,CUST-000073,2025-11-01,47.09,purchase,subscription,0,0
TXN-00000308,CUST-000073,2025-11-06,13.16,purchase,travel,0,0
TXN-00000309,CUST-000074,2025-09-11,47.42,purchase,electronics,0,0
TXN-00000310,CUST-000074,2025-11-26,20.48,purchase,electronics,1,0
TXN-00000311,CUST-000074,2025-12-08,60.46,subscription,travel,0,0
TXN-00000312,CUST-000075,2025-10-09,24.07,purchase,grocery,0,0
TXN-00000313,CUST-000075,2025-10-19,259.19,purchase,grocery,1,0
TXN-00000314,CUST-000075,2025-11-19,68.2,purchase,electronics,0,0
TXN-00000315,CUST-000076,2025-08-08,88.72,purchase,digital_goods,0,0
TXN-00000316,CUST-000076,2025-10-12,37.73,subscription,grocery,0,0
TXN-00000317,CUST-000077,2025-08-07,154.14,purchase,grocery,0,0
TXN-00000318,CUST-000077,2025-08-02,49.1,purchase,electronics,1,0
TXN-00000319,CUST-000077,2025-12-18,193.65,subscription,travel,0,0
TXN-00000320,CUST-000077,2025-08-25,250.41,transfer,digital_goods,0,0
TXN-00000321,CUST-000077,2025-10-06,46.16,purchase,subscription,0,0
TXN-00000322,CUST-000077,2025-07-11,104.69,purchase,digital_goods,0,0
TXN-00000323,CUST-000077,2025-10-21,112.8,purchase,subscription,0,0
TXN-00000324,CUST-000077,2025-09-07,65.99,purchase,grocery,0,0
TXN-00000325,CUST-000078,2025-12-05,21.07,purchase,digital_goods,1,0
TXN-00000326,CUST-000078,2025-12-19,44.82,purchase,cash_transfer,1,0
TXN-00000327,CUST-000078,2025-10-14,53.29,purchase,digital_goods,2,0
TXN-00000328,CUST-000078,2025-09-23,41.96,purchase,grocery,1,0
TXN-00000329,CUST-000079,2025-09-13,32.98,purchase,electronics,3,0
TXN-00000330,CUST-000079,2025-12-05,86.61,purchase,subscription,1,0
TXN-00000331,CUST-000079,2025-12-18,85.66,purchase,electronics,0,0
TXN-00000332,CUST-000079,2025-07-31,76.24,purchase,electronics,0,0
TXN-00000333,CUST-000079,2025-08-13,56.95,purchase,travel,0,0
TXN-00000334,CUST-000079,2025-10-15,155.44,purchase,electronics,0,1
TXN-00000335,CUST-000079,2025-11-21,52.13,purchase,subscription,0,0
TXN-00000336,CUST-000080,2025-11-25,113.61,subscription,electronics,0,0
TXN-00000337,CUST-000080,2025-12-09,26.67,purchase,subscription,0,0
TXN-00000338,CUST-000080,2025-09-23,19.02,purchase,digital_goods,2,0
TXN-00000339,CUST-000080,2025-12-02,38.45,purchase,subscription,0,0
TXN-00000340,CUST-000081,2025-12-20,385.99,purchase,subscription,0,0
TXN-00000341,CUST-000081,2025-07-21,284.43,purchase,grocery,0,0
TXN-00000342,CUST-000081,2025-08-19,46.0,purchase,electronics,0,0
TXN-00000343,CUST-000081,2025-12-18,48.84,purchase,grocery,0,0
TXN-00000344,CUST-000081,2025-09-01,81.85,purchase,digital_goods,0,0
TXN-00000345,CUST-000082,2025-10-22,110.64,purchase,travel,1,0
TXN-00000346,CUST-000082,2025-08-15,45.98,refund,electronics,1,0
TXN-00000347,CUST-000082,2025-10-18,180.47,transfer,electronics,0,1
TXN-00000348,CUST-000082,2025-11-15,21.15,purchase,grocery,1,0
TXN-00000349,CUST-000083,2025-08-23,29.94,purchase,electronics,1,0
TXN-00000350,CUST-000083,2025-07-26,131.42,transfer,digital_goods,0,0
TXN-00000351,CUST-000084,2025-07-11,230.23,purchase,electronics,1,0
TXN-00000352,CUST-000084,2025-12-31,65.46,purchase,grocery,1,0
TXN-00000353,CUST-000084,2025-11-27,139.28,purchase,digital_goods,0,0
TXN-00000354,CUST-000084,2025-12-19,17.16,purchase,electronics,0,0
TXN-00000355,CUST-000084,2025-11-26,71.49,purchase,electronics,2,0
TXN-00000356,CUST-000084,2025-12-10,111.72,transfer,subscription,0,0
TXN-00000357,CUST-000085,2025-07-22,134.07,purchase,digital_goods,3,1
TXN-00000358,CUST-000086,2025-09-24,64.31,purchase,cash_transfer,2,0
TXN-00000359,CUST-000086,2025-07-14,43.1,purchase,subscription,0,0
TXN-00000360,CUST-000087,2025-12-28,15.82,subscription,digital_goods,0,0
TXN-00000361,CUST-000088,2025-11-19,129.2,subscription,digital_goods,0,0
TXN-00000362,CUST-000088,2025-08-30,65.36,purchase,electronics,1,0
